"head.sample" "dyad.sample" "answer.t" "g.dur" "id.a" "id.q"
"1" "duti" "6" "speech" 442 "B" "A"
"2" "uds" "3" "speech" 391 "A" "B"
"3" "rti" "1" "nonverbal" 302 "B" "A"
"4" "bne" "7" "nonverbal" 286 "B" "A"
"5" "duti" "2" "nonverbal" 334 "A" "B"
"6" "rti" "6" "nonverbal" 394 "A" "B"
"7" "lrs" "2" "nonverbal" 196 "A" "B"
"8" "dus" "7" "speech" 344 "B" "A"
"9" "lrs" "5" "speech" 351 "B" "A"
"10" "bne" "2" "speech" 253 "A" "B"
"11" "uds" "1" "nonverbal" 387 "B" "A"
"12" "duti" "5" "nonverbal" 177 "A" "B"
"13" "lrs" "2" "speech" 279 "A" "B"
"14" "dus" "2" "speech" 309 "B" "A"
"15" "duti" "2" "nonverbal" 364 "A" "B"
"16" "duti" "2" "speech" 430 "B" "A"
"17" "uds" "3" "nonverbal" 465 "A" "B"
"18" "udti" "6" "nonverbal" 189 "A" "B"
"19" "uds" "4" "speech" 163 "A" "B"
"20" "uds" "7" "speech" 431 "B" "A"
"21" "dti" "6" "nonverbal" 197 "B" "A"
"22" "fne" "7" "nonverbal" 175 "A" "B"
"23" "lrs" "3" "nonverbal" 253 "B" "A"
"24" "dus" "7" "speech" 499 "B" "A"
"25" "fne" "5" "nonverbal" 399 "B" "A"
"26" "rls" "5" "speech" 251 "B" "A"
"27" "uds" "1" "speech" 471 "B" "A"
"28" "bne" "4" "speech" 487 "B" "A"
"29" "udti" "7" "speech" 390 "A" "B"
"30" "rls" "3" "speech" 370 "B" "A"
"31" "fne" "7" "nonverbal" 343 "A" "B"
"32" "uds" "2" "speech" 264 "A" "B"
"33" "lti" "7" "speech" 166 "B" "A"
"34" "udti" "5" "nonverbal" 297 "B" "A"
"35" "bne" "5" "speech" 197 "B" "A"
"36" "dti" "7" "nonverbal" 254 "B" "A"
"37" "lrs" "1" "speech" 333 "B" "A"
"38" "dus" "7" "nonverbal" 331 "A" "B"
"39" "udti" "7" "nonverbal" 215 "A" "B"
"40" "lrs" "7" "nonverbal" 291 "B" "A"
"41" "fne" "6" "speech" 328 "A" "B"
"42" "lrs" "1" "speech" 187 "A" "B"
"43" "dus" "2" "nonverbal" 262 "B" "A"
"44" "lrs" "4" "speech" 319 "B" "A"
"45" "lrs" "1" "nonverbal" 253 "A" "B"
"46" "duti" "1" "nonverbal" 437 "A" "B"
"47" "duti" "6" "speech" 494 "A" "B"
"48" "bne" "3" "nonverbal" 277 "A" "B"
"49" "lrs" "2" "nonverbal" 186 "A" "B"
"50" "dus" "5" "nonverbal" 305 "B" "A"
"51" "duti" "1" "nonverbal" 282 "A" "B"
"52" "uds" "2" "speech" 167 "B" "A"
"53" "rls" "6" "nonverbal" 210 "B" "A"
"54" "uds" "1" "speech" 402 "A" "B"
"55" "rls" "1" "speech" 324 "B" "A"
"56" "fne" "4" "speech" 487 "A" "B"
"57" "uds" "5" "nonverbal" 360 "A" "B"
"58" "rls" "3" "nonverbal" 185 "A" "B"
"59" "rti" "3" "nonverbal" 392 "B" "A"
"60" "dti" "3" "nonverbal" 167 "B" "A"
"61" "dus" "1" "speech" 389 "A" "B"
"62" "rls" "3" "speech" 384 "B" "A"
"63" "dus" "6" "nonverbal" 190 "A" "B"
"64" "dus" "7" "nonverbal" 352 "B" "A"
"65" "rls" "6" "nonverbal" 336 "A" "B"
"66" "uds" "7" "nonverbal" 385 "A" "B"
"67" "fne" "2" "nonverbal" 495 "A" "B"
"68" "rls" "7" "nonverbal" 364 "B" "A"
"69" "dus" "3" "speech" 177 "A" "B"
"70" "lrs" "1" "nonverbal" 190 "A" "B"
"71" "uds" "3" "speech" 156 "A" "B"
"72" "uds" "4" "nonverbal" 186 "B" "A"
"73" "lti" "2" "nonverbal" 300 "A" "B"
"74" "rls" "3" "speech" 274 "A" "B"
"75" "duti" "3" "nonverbal" 324 "B" "A"
"76" "udti" "7" "nonverbal" 157 "A" "B"
"77" "uds" "5" "speech" 310 "B" "A"
"78" "dus" "4" "nonverbal" 364 "B" "A"
"79" "lrs" "5" "speech" 348 "B" "A"
"80" "dti" "6" "nonverbal" 376 "A" "B"
"81" "rti" "4" "nonverbal" 364 "A" "B"
"82" "rls" "4" "speech" 197 "A" "B"
"83" "dus" "2" "nonverbal" 172 "A" "B"
"84" "fne" "2" "nonverbal" 378 "B" "A"
"85" "uds" "5" "nonverbal" 277 "A" "B"
"86" "lrs" "1" "nonverbal" 177 "A" "B"
"87" "dus" "4" "nonverbal" 402 "A" "B"
"88" "rls" "4" "speech" 217 "B" "A"
"89" "duti" "3" "speech" 304 "A" "B"
"90" "fne" "6" "speech" 371 "A" "B"
"91" "udti" "5" "speech" 395 "B" "A"
"92" "lti" "7" "speech" 225 "A" "B"
"93" "lti" "3" "nonverbal" 441 "B" "A"
"94" "duti" "7" "nonverbal" 263 "A" "B"
"95" "lti" "4" "speech" 174 "B" "A"
"96" "lrs" "2" "speech" 405 "B" "A"
"97" "uds" "6" "nonverbal" 165 "B" "A"
"98" "rls" "3" "nonverbal" 229 "A" "B"
"99" "dti" "3" "nonverbal" 367 "A" "B"
"100" "lti" "1" "nonverbal" 482 "B" "A"
"101" "rls" "5" "nonverbal" 241 "A" "B"
"102" "lrs" "1" "speech" 442 "B" "A"
"103" "rti" "3" "speech" 298 "B" "A"
"104" "duti" "6" "speech" 228 "A" "B"
"105" "duti" "6" "speech" 161 "B" "A"
"106" "lrs" "7" "nonverbal" 162 "B" "A"
"107" "uds" "6" "nonverbal" 437 "B" "A"
"108" "dti" "3" "nonverbal" 315 "A" "B"
"109" "fne" "5" "nonverbal" 159 "A" "B"
"110" "lrs" "6" "speech" 155 "B" "A"
"111" "udti" "3" "nonverbal" 374 "B" "A"
"112" "lti" "5" "speech" 369 "A" "B"
"113" "lrs" "5" "speech" 158 "A" "B"
"114" "fne" "1" "nonverbal" 409 "A" "B"
"115" "duti" "1" "speech" 173 "A" "B"
"116" "lrs" "5" "nonverbal" 200 "B" "A"
"117" "lti" "5" "nonverbal" 424 "B" "A"
"118" "rti" "6" "nonverbal" 452 "A" "B"
"119" "lti" "4" "speech" 231 "B" "A"
"120" "lti" "5" "nonverbal" 301 "B" "A"
"121" "bne" "5" "speech" 322 "B" "A"
"122" "lti" "5" "speech" 177 "B" "A"
"123" "dti" "6" "speech" 418 "B" "A"
"124" "lrs" "3" "speech" 241 "B" "A"
"125" "rti" "6" "nonverbal" 306 "A" "B"
"126" "fne" "3" "nonverbal" 428 "B" "A"
"127" "duti" "5" "nonverbal" 223 "A" "B"
"128" "dus" "3" "speech" 460 "A" "B"
"129" "rls" "6" "speech" 302 "B" "A"
"130" "bne" "7" "speech" 173 "B" "A"
"131" "duti" "2" "speech" 464 "A" "B"
"132" "uds" "2" "speech" 472 "B" "A"
"133" "duti" "6" "speech" 271 "B" "A"
"134" "rti" "3" "nonverbal" 230 "A" "B"
"135" "duti" "2" "speech" 231 "B" "A"
